District_Name,UnitName,FIRNo,Year,Month,CrimeGroup_Name,Latitude,Longitude,VICTIM COUNT,Accused Count,Day
KATHMANDU,Kathmandu Police Unit,3822/2016,2024,10,Human Trafficking,30.012613,84.701684,1,5,14
LALITPUR,Lalitpur Police Unit,687/2022,2022,5,Domestic Violence,26.839019,81.331272,5,4,25
MORANG,Morang Police Unit,1911/2024,2024,6,Human Trafficking,28.150515,83.483137,2,3,28
LALITPUR,Lalitpur Police Unit,9740/2020,2024,7,Human Trafficking,27.211587,87.498647,0,4,26
KASKI,Kaski Police Unit,2801/2017,2019,8,Theft,28.240561,80.116728,3,3,11
DHANUSHA,Dhanusha Police Unit,8366/2018,2021,5,Assault,26.496702,83.913702,3,0,1
MORANG,Morang Police Unit,7366/2019,2018,8,Kidnapping,27.001875,87.256438,2,5,4
MORANG,Morang Police Unit,3266/2020,2020,2,Assault,26.694764,86.341437,5,0,6
BANKE,Banke Police Unit,9375/2024,2015,10,Cyber Crime,26.416107,83.924653,2,1,21
CHITWAN,Chitwan Police Unit,5551/2023,2022,12,Cyber Crime,29.570976,87.671018,4,4,21
DHANUSHA,Dhanusha Police Unit,3243/2017,2015,12,Human Trafficking,29.318749,81.296552,0,4,22
RUPANDEHI,Rupandehi Police Unit,5126/2016,2019,5,Homicide,27.854843,80.505631,2,1,1
KATHMANDU,Kathmandu Police Unit,3392/2015,2019,9,Drug Trafficking,29.194619,85.717222,2,1,2
BANKE,Banke Police Unit,8423/2022,2021,10,Theft,26.943787,86.683962,1,0,3
BHAKTAPUR,Bhaktapur Police Unit,7955/2017,2018,2,Fraud,29.972846,88.07296,3,0,8
SUNSARI,Sunsari Police Unit,8569/2016,2023,9,Domestic Violence,28.447769,80.167558,0,1,11
DHANUSHA,Dhanusha Police Unit,7622/2023,2015,11,Homicide,29.592583,87.900323,0,3,14
KASKI,Kaski Police Unit,4616/2019,2017,4,Human Trafficking,29.432745,84.357367,2,0,8
RUPANDEHI,Rupandehi Police Unit,4027/2021,2019,8,Domestic Violence,29.441817,87.125644,4,1,5
LALITPUR,Lalitpur Police Unit,7329/2016,2020,5,Smuggling,30.051917,88.195118,1,3,22
CHITWAN,Chitwan Police Unit,2341/2022,2023,6,Theft,28.286016,87.732071,0,2,21
BHAKTAPUR,Bhaktapur Police Unit,1184/2015,2024,11,Drug Trafficking,27.605466,80.113782,5,0,27
MORANG,Morang Police Unit,3573/2024,2016,12,Smuggling,27.393621,88.016013,0,2,23
MORANG,Morang Police Unit,762/2023,2020,11,Kidnapping,27.73107,86.062029,4,2,19
BANKE,Banke Police Unit,2943/2017,2016,12,Human Trafficking,28.417925,85.717835,5,1,5
LALITPUR,Lalitpur Police Unit,5201/2018,2016,6,Human Trafficking,27.607201,87.809926,0,0,13
SUNSARI,Sunsari Police Unit,7771/2021,2018,10,Homicide,27.595253,84.894714,0,2,23
SUNSARI,Sunsari Police Unit,1117/2024,2021,7,Cyber Crime,30.398569,85.347396,4,1,6
CHITWAN,Chitwan Police Unit,597/2020,2017,6,Assault,28.456319,81.758292,2,1,11
LALITPUR,Lalitpur Police Unit,1442/2022,2023,6,Assault,28.276369,87.07871,3,0,10
KASKI,Kaski Police Unit,2016/2021,2024,11,Homicide,29.418409,81.366498,4,1,5
KASKI,Kaski Police Unit,9505/2015,2018,1,Kidnapping,30.171611,85.117043,5,5,18
KASKI,Kaski Police Unit,8784/2024,2023,10,Domestic Violence,29.731499,80.29946,5,1,5
CHITWAN,Chitwan Police Unit,948/2024,2023,5,Homicide,28.60871,82.325727,0,5,17
KASKI,Kaski Police Unit,1795/2024,2017,11,Assault,27.513532,84.370822,1,5,11
BANKE,Banke Police Unit,181/2020,2020,2,Kidnapping,26.376326,80.341462,4,0,16
SUNSARI,Sunsari Police Unit,2975/2023,2018,4,Assault,27.081098,82.498094,4,1,4
LALITPUR,Lalitpur Police Unit,8724/2024,2023,11,Human Trafficking,30.272516,82.16153,0,1,12
SUNSARI,Sunsari Police Unit,6089/2023,2017,7,Drug Trafficking,29.997645,84.784008,3,2,9
LALITPUR,Lalitpur Police Unit,7077/2019,2024,1,Assault,26.360598,80.718573,0,2,14
RUPANDEHI,Rupandehi Police Unit,1135/2023,2022,11,Human Trafficking,28.12479,84.65333,1,1,20
KATHMANDU,Kathmandu Police Unit,2570/2017,2022,2,Homicide,27.854126,85.872179,3,0,16
LALITPUR,Lalitpur Police Unit,6378/2023,2018,9,Theft,26.907327,80.08446,2,5,28
BANKE,Banke Police Unit,6929/2019,2022,6,Drug Trafficking,30.317345,80.802424,0,5,28
LALITPUR,Lalitpur Police Unit,3693/2023,2019,2,Domestic Violence,30.294455,82.040962,2,5,14
KATHMANDU,Kathmandu Police Unit,6787/2019,2021,8,Human Trafficking,29.383698,84.676232,3,2,13
RUPANDEHI,Rupandehi Police Unit,9225/2024,2018,8,Smuggling,27.883584,85.937464,3,5,18
MORANG,Morang Police Unit,6664/2020,2022,6,Assault,26.713941,87.911327,0,0,11
LALITPUR,Lalitpur Police Unit,Apr-18,2020,9,Drug Trafficking,26.808363,86.077592,2,2,1
CHITWAN,Chitwan Police Unit,7930/2016,2022,8,Assault,26.555142,85.040985,3,4,19
BHAKTAPUR,Bhaktapur Police Unit,8506/2020,2018,8,Human Trafficking,27.906012,81.302633,1,0,24
DHANUSHA,Dhanusha Police Unit,8042/2021,2017,6,Theft,30.37677,81.036081,2,1,16
KATHMANDU,Kathmandu Police Unit,650/2015,2016,5,Theft,29.20622,80.500588,2,1,7
LALITPUR,Lalitpur Police Unit,8316/2023,2024,4,Cyber Crime,27.469441,87.233299,5,1,6
KATHMANDU,Kathmandu Police Unit,9063/2021,2020,2,Smuggling,28.093543,81.261571,3,1,10
BANKE,Banke Police Unit,8488/2021,2015,3,Domestic Violence,29.062916,86.126799,2,4,14
SUNSARI,Sunsari Police Unit,404/2023,2019,7,Domestic Violence,28.520471,84.831817,1,3,23
KATHMANDU,Kathmandu Police Unit,3838/2019,2016,9,Homicide,29.390338,81.59464,2,1,1
KATHMANDU,Kathmandu Police Unit,2053/2024,2016,8,Drug Trafficking,28.84888,81.545873,0,1,2
DHANUSHA,Dhanusha Police Unit,2189/2019,2019,7,Assault,30.308712,86.129632,5,2,2
DHANUSHA,Dhanusha Police Unit,9681/2023,2021,11,Kidnapping,27.729243,87.491909,3,3,15
CHITWAN,Chitwan Police Unit,4953/2019,2023,11,Assault,28.076925,80.212474,4,1,28
BHAKTAPUR,Bhaktapur Police Unit,2119/2023,2017,9,Drug Trafficking,28.833984,80.122497,3,0,9
KASKI,Kaski Police Unit,101/2017,2022,6,Theft,26.595739,83.671518,2,4,19
KATHMANDU,Kathmandu Police Unit,4961/2016,2023,12,Theft,28.82128,81.313294,5,0,6
RUPANDEHI,Rupandehi Police Unit,869/2023,2021,4,Smuggling,28.167048,87.547712,3,2,12
MORANG,Morang Police Unit,6671/2018,2019,1,Domestic Violence,26.52655,82.10719,4,1,7
KASKI,Kaski Police Unit,5261/2017,2018,2,Theft,28.854533,82.894871,2,2,8
MORANG,Morang Police Unit,5638/2019,2015,2,Assault,28.92028,86.85,5,5,13
BHAKTAPUR,Bhaktapur Police Unit,2542/2021,2024,10,Assault,30.295882,84.823847,1,0,16
LALITPUR,Lalitpur Police Unit,3387/2019,2019,5,Cyber Crime,28.291534,82.66717,4,2,13
KATHMANDU,Kathmandu Police Unit,881/2015,2015,10,Human Trafficking,28.910175,82.396718,1,0,9
BHAKTAPUR,Bhaktapur Police Unit,5768/2020,2017,9,Domestic Violence,28.114808,82.800198,3,1,21
CHITWAN,Chitwan Police Unit,2478/2015,2019,9,Homicide,30.197419,82.95953,3,4,18
BANKE,Banke Police Unit,1436/2021,2017,7,Cyber Crime,28.462826,85.375774,1,2,16
LALITPUR,Lalitpur Police Unit,9351/2024,2020,7,Human Trafficking,29.22952,82.428291,0,2,12
BHAKTAPUR,Bhaktapur Police Unit,3472/2015,2016,7,Kidnapping,29.632882,81.632802,2,1,18
DHANUSHA,Dhanusha Police Unit,1223/2023,2017,1,Theft,28.639613,86.447132,0,3,19
KATHMANDU,Kathmandu Police Unit,5124/2017,2023,1,Homicide,29.057504,80.100737,3,1,28
BHAKTAPUR,Bhaktapur Police Unit,7212/2023,2024,11,Assault,27.9016,83.99666,3,0,4
BHAKTAPUR,Bhaktapur Police Unit,6950/2019,2015,3,Smuggling,29.237142,80.387471,2,5,7
BHAKTAPUR,Bhaktapur Police Unit,2593/2016,2021,2,Theft,27.765136,84.023382,1,3,25
SUNSARI,Sunsari Police Unit,4251/2017,2024,5,Smuggling,28.022165,81.04684,4,3,16
BHAKTAPUR,Bhaktapur Police Unit,1853/2023,2015,5,Assault,29.372348,80.358489,3,1,7
MORANG,Morang Police Unit,3641/2021,2018,3,Smuggling,27.618938,84.570711,2,5,15
BHAKTAPUR,Bhaktapur Police Unit,2363/2019,2019,8,Assault,26.797584,85.720627,3,0,15
CHITWAN,Chitwan Police Unit,9567/2024,2024,7,Domestic Violence,27.197339,86.573348,2,5,22
BANKE,Banke Police Unit,7983/2017,2022,8,Kidnapping,28.274284,84.144086,4,3,9
BANKE,Banke Police Unit,5512/2020,2022,10,Human Trafficking,27.988967,87.14674,1,0,24
DHANUSHA,Dhanusha Police Unit,9055/2021,2020,10,Theft,27.038725,86.404374,1,2,22
MORANG,Morang Police Unit,9488/2019,2018,9,Homicide,29.400165,84.883555,2,5,23
CHITWAN,Chitwan Police Unit,1067/2020,2018,7,Domestic Violence,28.456472,80.139165,4,3,19
BANKE,Banke Police Unit,3917/2018,2016,7,Smuggling,26.539277,83.75222,2,0,9
LALITPUR,Lalitpur Police Unit,2146/2015,2024,6,Human Trafficking,29.485152,83.496822,2,3,16
KATHMANDU,Kathmandu Police Unit,4177/2023,2024,3,Smuggling,26.402067,83.464956,2,4,11
BHAKTAPUR,Bhaktapur Police Unit,378/2022,2018,11,Fraud,26.351299,80.217016,1,1,8
CHITWAN,Chitwan Police Unit,7068/2019,2017,3,Fraud,29.998778,81.177172,2,0,11
RUPANDEHI,Rupandehi Police Unit,4403/2018,2023,8,Kidnapping,29.962695,86.348061,3,0,15
CHITWAN,Chitwan Police Unit,1705/2015,2024,2,Domestic Violence,29.141477,84.589264,5,0,25
DHANUSHA,Dhanusha Police Unit,6113/2024,2015,5,Theft,26.804987,86.465973,4,2,8
BHAKTAPUR,Bhaktapur Police Unit,8387/2018,2019,4,Domestic Violence,28.28659,82.122746,4,3,15
CHITWAN,Chitwan Police Unit,5051/2024,2022,6,Domestic Violence,27.962661,82.47876,0,3,8
LALITPUR,Lalitpur Police Unit,1007/2024,2016,7,Domestic Violence,30.261443,82.301634,4,4,11
SUNSARI,Sunsari Police Unit,4835/2022,2024,3,Fraud,28.60876,84.836725,0,5,20
DHANUSHA,Dhanusha Police Unit,807/2022,2023,6,Domestic Violence,29.272703,84.70051,5,4,7
BANKE,Banke Police Unit,2978/2016,2017,4,Fraud,27.764717,82.480426,3,3,14
SUNSARI,Sunsari Police Unit,5580/2019,2017,3,Human Trafficking,27.774217,84.077204,1,3,12
BANKE,Banke Police Unit,2576/2020,2020,3,Smuggling,28.962301,81.894571,4,2,2
RUPANDEHI,Rupandehi Police Unit,7822/2023,2017,1,Assault,27.730261,80.246406,3,0,13
MORANG,Morang Police Unit,6637/2017,2019,4,Theft,28.838996,87.323151,4,3,6
KASKI,Kaski Police Unit,42/2018,2017,9,Assault,27.114929,85.630456,0,1,2
DHANUSHA,Dhanusha Police Unit,4836/2017,2021,7,Human Trafficking,29.615891,82.239737,0,4,20
BHAKTAPUR,Bhaktapur Police Unit,5987/2019,2018,3,Smuggling,26.526793,84.370019,5,1,23
BANKE,Banke Police Unit,5434/2020,2022,5,Human Trafficking,30.142499,84.420659,2,4,1
SUNSARI,Sunsari Police Unit,9184/2019,2021,8,Domestic Violence,26.938732,81.112404,2,0,2
MORANG,Morang Police Unit,2625/2020,2020,4,Assault,28.525759,81.697459,4,4,2
KATHMANDU,Kathmandu Police Unit,7273/2023,2020,1,Kidnapping,29.915098,81.429985,1,4,4
SUNSARI,Sunsari Police Unit,6481/2016,2016,7,Drug Trafficking,27.262493,81.743284,4,3,5
LALITPUR,Lalitpur Police Unit,9587/2022,2016,1,Assault,30.251613,87.141064,2,3,2
CHITWAN,Chitwan Police Unit,8969/2017,2016,3,Fraud,29.26358,87.2719,3,4,4
BANKE,Banke Police Unit,636/2017,2020,2,Fraud,30.265576,81.469966,4,5,9
LALITPUR,Lalitpur Police Unit,7104/2019,2019,2,Domestic Violence,27.142948,81.236172,4,1,5
RUPANDEHI,Rupandehi Police Unit,3981/2023,2021,3,Drug Trafficking,27.152331,82.601021,5,4,19
LALITPUR,Lalitpur Police Unit,5058/2024,2018,10,Drug Trafficking,29.571108,84.009137,4,2,2
MORANG,Morang Police Unit,745/2023,2016,10,Smuggling,28.453787,81.887125,0,0,17
KATHMANDU,Kathmandu Police Unit,9102/2022,2022,4,Cyber Crime,27.980289,86.917138,2,1,24
LALITPUR,Lalitpur Police Unit,3239/2018,2018,10,Homicide,30.293023,80.415046,1,5,5
MORANG,Morang Police Unit,7840/2023,2018,6,Drug Trafficking,30.308532,84.05969,4,5,24
SUNSARI,Sunsari Police Unit,374/2023,2017,3,Domestic Violence,26.777861,83.555005,4,4,28
MORANG,Morang Police Unit,8250/2015,2019,5,Drug Trafficking,27.304385,85.761126,0,1,24
BANKE,Banke Police Unit,1056/2021,2016,12,Human Trafficking,29.968654,84.187455,3,1,17
KATHMANDU,Kathmandu Police Unit,9166/2020,2023,1,Cyber Crime,26.885812,80.977404,5,0,19
KASKI,Kaski Police Unit,4681/2021,2015,2,Homicide,28.559162,86.707058,0,3,9
RUPANDEHI,Rupandehi Police Unit,6919/2019,2020,7,Assault,26.934296,83.172722,1,2,22
SUNSARI,Sunsari Police Unit,9107/2022,2015,7,Drug Trafficking,30.075807,85.664295,2,2,8
LALITPUR,Lalitpur Police Unit,7458/2018,2020,9,Drug Trafficking,29.099173,86.700188,0,0,13
KATHMANDU,Kathmandu Police Unit,1803/2022,2015,6,Smuggling,26.382177,82.773212,1,4,7
KASKI,Kaski Police Unit,1593/2019,2020,9,Theft,26.50819,80.718004,3,3,1
RUPANDEHI,Rupandehi Police Unit,8167/2015,2018,1,Homicide,30.0378,80.811717,0,2,12
CHITWAN,Chitwan Police Unit,6255/2020,2022,7,Theft,29.746306,83.199727,2,3,19
CHITWAN,Chitwan Police Unit,6784/2023,2017,4,Human Trafficking,26.604018,83.254662,2,5,6
LALITPUR,Lalitpur Police Unit,9647/2020,2018,10,Theft,28.552176,84.841023,2,4,16
CHITWAN,Chitwan Police Unit,3525/2017,2021,8,Theft,28.462633,87.241626,5,0,2
LALITPUR,Lalitpur Police Unit,7510/2024,2024,4,Drug Trafficking,28.728857,87.322285,0,0,25
KASKI,Kaski Police Unit,421/2019,2017,8,Theft,29.465691,85.164459,4,0,26
DHANUSHA,Dhanusha Police Unit,5812/2022,2024,5,Homicide,28.45088,85.355305,5,0,25
CHITWAN,Chitwan Police Unit,1327/2021,2022,10,Kidnapping,27.377722,82.982876,4,2,1
KASKI,Kaski Police Unit,5890/2023,2024,5,Assault,29.883081,81.831143,3,0,26
BANKE,Banke Police Unit,6690/2019,2015,1,Drug Trafficking,29.346219,86.584386,4,3,2
LALITPUR,Lalitpur Police Unit,2822/2017,2017,4,Smuggling,26.724825,83.150935,2,5,13
DHANUSHA,Dhanusha Police Unit,4708/2020,2021,5,Fraud,27.542647,86.828966,5,1,23
LALITPUR,Lalitpur Police Unit,6884/2024,2020,6,Domestic Violence,28.028728,84.579287,2,2,4
MORANG,Morang Police Unit,8013/2015,2023,3,Domestic Violence,29.838335,82.554192,2,5,7
BHAKTAPUR,Bhaktapur Police Unit,1233/2016,2019,10,Assault,27.050779,83.719126,2,0,2
LALITPUR,Lalitpur Police Unit,1268/2021,2020,1,Theft,27.586016,82.196581,5,0,5
DHANUSHA,Dhanusha Police Unit,3503/2018,2022,8,Theft,30.183274,83.220574,5,1,11
BHAKTAPUR,Bhaktapur Police Unit,5251/2024,2018,7,Human Trafficking,27.716731,80.931365,0,2,2
SUNSARI,Sunsari Police Unit,4366/2015,2019,7,Homicide,27.650245,85.916214,3,2,8
KATHMANDU,Kathmandu Police Unit,4614/2023,2017,8,Assault,30.260185,82.831887,0,0,10
KASKI,Kaski Police Unit,9546/2024,2020,9,Human Trafficking,27.056432,80.914617,2,2,12
KASKI,Kaski Police Unit,3643/2020,2017,9,Fraud,29.476433,85.366265,1,1,25
LALITPUR,Lalitpur Police Unit,4937/2018,2020,1,Smuggling,28.787638,80.512846,3,4,27
SUNSARI,Sunsari Police Unit,7126/2020,2022,3,Human Trafficking,28.304867,80.29939,3,4,5
DHANUSHA,Dhanusha Police Unit,3895/2024,2018,10,Assault,28.433835,87.914452,4,4,17
CHITWAN,Chitwan Police Unit,3066/2018,2023,10,Fraud,29.512382,86.167371,4,2,1
BHAKTAPUR,Bhaktapur Police Unit,5267/2022,2020,11,Human Trafficking,26.402393,84.020064,0,1,26
SUNSARI,Sunsari Police Unit,5036/2022,2022,10,Drug Trafficking,29.443267,87.638181,4,5,22
BHAKTAPUR,Bhaktapur Police Unit,8653/2017,2023,10,Smuggling,27.257746,84.859859,3,2,18
KASKI,Kaski Police Unit,7759/2024,2018,6,Human Trafficking,28.915052,87.126424,0,5,19
SUNSARI,Sunsari Police Unit,9418/2023,2015,6,Assault,27.586848,82.966441,3,0,2
RUPANDEHI,Rupandehi Police Unit,8597/2022,2015,7,Homicide,29.631545,87.097733,5,5,22
BANKE,Banke Police Unit,7132/2023,2017,6,Kidnapping,27.483299,87.306958,0,3,19
KASKI,Kaski Police Unit,5140/2018,2018,5,Kidnapping,26.505765,81.834362,0,0,28
KATHMANDU,Kathmandu Police Unit,9250/2017,2022,5,Domestic Violence,29.430592,87.835258,5,1,8
LALITPUR,Lalitpur Police Unit,2679/2020,2023,1,Assault,28.241198,87.360207,0,2,3
MORANG,Morang Police Unit,5310/2024,2018,3,Assault,29.158881,80.246777,5,4,4
BANKE,Banke Police Unit,8706/2019,2021,9,Assault,28.165448,85.494838,3,2,4
LALITPUR,Lalitpur Police Unit,9644/2017,2015,6,Fraud,29.155713,83.021973,5,2,17
RUPANDEHI,Rupandehi Police Unit,5947/2018,2018,11,Assault,26.543319,82.753068,0,2,23
KASKI,Kaski Police Unit,3173/2017,2018,11,Homicide,26.838114,82.478469,1,0,21
LALITPUR,Lalitpur Police Unit,3398/2023,2015,10,Kidnapping,26.382718,84.268479,5,5,25
KASKI,Kaski Police Unit,1010/2020,2017,1,Fraud,27.569695,87.935785,2,0,16
SUNSARI,Sunsari Police Unit,4645/2021,2019,4,Kidnapping,29.017108,85.365844,4,4,27
BHAKTAPUR,Bhaktapur Police Unit,1049/2022,2019,10,Fraud,30.236975,81.283444,3,2,8
CHITWAN,Chitwan Police Unit,833/2022,2019,12,Human Trafficking,28.260874,84.988036,5,3,17
KATHMANDU,Kathmandu Police Unit,8626/2018,2022,6,Domestic Violence,28.835471,81.337518,5,3,15
SUNSARI,Sunsari Police Unit,6109/2021,2024,4,Domestic Violence,29.066626,80.705521,5,5,2
BHAKTAPUR,Bhaktapur Police Unit,667/2016,2020,2,Kidnapping,29.589563,87.79986,1,1,18
CHITWAN,Chitwan Police Unit,3413/2021,2020,11,Cyber Crime,28.866935,82.418304,2,2,8
LALITPUR,Lalitpur Police Unit,9981/2020,2022,4,Smuggling,29.738662,83.977912,5,4,22
MORANG,Morang Police Unit,8217/2023,2015,1,Theft,26.958884,87.643332,1,1,28
BHAKTAPUR,Bhaktapur Police Unit,736/2022,2018,8,Drug Trafficking,30.164247,86.724379,3,5,13
MORANG,Morang Police Unit,5204/2018,2019,8,Fraud,29.902405,87.751055,0,1,16
SUNSARI,Sunsari Police Unit,1747/2019,2020,11,Kidnapping,28.877701,81.710304,0,3,21
DHANUSHA,Dhanusha Police Unit,9963/2015,2023,10,Kidnapping,28.124326,87.085736,2,5,28
BANKE,Banke Police Unit,8630/2020,2019,2,Assault,29.361171,84.89621,3,1,17
BHAKTAPUR,Bhaktapur Police Unit,6701/2023,2015,1,Human Trafficking,26.966924,86.376366,4,0,10
MORANG,Morang Police Unit,722/2023,2016,3,Human Trafficking,29.202511,82.821273,4,0,9
RUPANDEHI,Rupandehi Police Unit,7222/2023,2020,9,Drug Trafficking,29.441132,81.8543,3,3,23
BANKE,Banke Police Unit,6130/2021,2020,1,Assault,28.955639,81.269925,5,4,4
MORANG,Morang Police Unit,4474/2016,2019,9,Cyber Crime,29.25892,81.265733,0,0,15
LALITPUR,Lalitpur Police Unit,5966/2016,2015,8,Domestic Violence,28.140661,87.432026,2,0,9
BANKE,Banke Police Unit,1715/2024,2021,9,Homicide,28.652799,88.109367,5,0,18
BHAKTAPUR,Bhaktapur Police Unit,8754/2020,2023,10,Theft,26.407285,84.562843,1,1,22
BANKE,Banke Police Unit,9175/2020,2017,1,Theft,26.873052,84.770657,0,2,14
CHITWAN,Chitwan Police Unit,3061/2016,2015,7,Fraud,28.392585,83.056995,0,0,20
MORANG,Morang Police Unit,2360/2023,2016,5,Cyber Crime,27.628894,86.052605,2,2,15
MORANG,Morang Police Unit,6243/2021,2017,10,Smuggling,27.061575,85.584254,2,2,11
SUNSARI,Sunsari Police Unit,248/2023,2021,7,Theft,28.134941,82.141929,5,5,7
SUNSARI,Sunsari Police Unit,8716/2022,2015,8,Theft,29.136328,85.949092,5,2,11
LALITPUR,Lalitpur Police Unit,95/2016,2020,7,Homicide,28.650763,82.350768,0,0,10
LALITPUR,Lalitpur Police Unit,4677/2015,2019,4,Cyber Crime,27.04284,84.529571,3,2,22
KASKI,Kaski Police Unit,3732/2018,2021,12,Homicide,29.033983,81.236124,5,3,4
MORANG,Morang Police Unit,2992/2015,2017,4,Human Trafficking,29.210729,83.692029,1,2,6
DHANUSHA,Dhanusha Police Unit,6540/2024,2019,2,Theft,28.924136,85.977922,3,5,2
LALITPUR,Lalitpur Police Unit,9652/2015,2024,10,Homicide,29.903754,80.737018,0,1,23
RUPANDEHI,Rupandehi Police Unit,9879/2024,2022,11,Domestic Violence,29.689781,86.892754,5,0,26
MORANG,Morang Police Unit,6302/2022,2022,5,Smuggling,29.199832,81.963234,1,4,27
MORANG,Morang Police Unit,779/2021,2015,7,Cyber Crime,27.725155,83.898175,4,0,27
SUNSARI,Sunsari Police Unit,2613/2016,2019,1,Homicide,27.948447,83.142737,4,0,23
SUNSARI,Sunsari Police Unit,5358/2015,2019,6,Domestic Violence,26.527377,84.429847,0,0,9
BHAKTAPUR,Bhaktapur Police Unit,8771/2022,2024,4,Human Trafficking,26.94103,86.098264,3,1,20
RUPANDEHI,Rupandehi Police Unit,6650/2021,2020,7,Cyber Crime,26.639536,84.93144,3,2,13
BHAKTAPUR,Bhaktapur Police Unit,2938/2017,2020,10,Cyber Crime,29.389823,85.745954,2,3,22
BHAKTAPUR,Bhaktapur Police Unit,3907/2024,2015,11,Fraud,28.689895,80.545369,1,4,17
MORANG,Morang Police Unit,3534/2019,2017,5,Smuggling,28.533139,84.084177,5,2,27
BHAKTAPUR,Bhaktapur Police Unit,3013/2023,2021,1,Fraud,26.713043,87.034603,1,4,5
DHANUSHA,Dhanusha Police Unit,3158/2019,2022,9,Fraud,29.189857,85.589824,4,3,9
BANKE,Banke Police Unit,2353/2018,2019,9,Human Trafficking,29.249465,83.92684,5,4,26
DHANUSHA,Dhanusha Police Unit,1372/2024,2018,11,Theft,29.891864,83.039449,1,2,5
DHANUSHA,Dhanusha Police Unit,8385/2019,2018,10,Drug Trafficking,26.431772,84.485582,1,0,19
KASKI,Kaski Police Unit,612/2020,2019,8,Homicide,28.761789,82.685746,0,1,1
KASKI,Kaski Police Unit,8751/2022,2015,7,Theft,27.391387,87.435371,2,0,1
LALITPUR,Lalitpur Police Unit,5308/2018,2019,5,Theft,28.333624,80.397419,0,3,11
MORANG,Morang Police Unit,3084/2018,2015,6,Homicide,27.395933,86.967403,0,4,16
MORANG,Morang Police Unit,7833/2016,2019,8,Theft,26.949739,83.588594,4,3,21
LALITPUR,Lalitpur Police Unit,6878/2020,2023,3,Cyber Crime,29.288937,84.574231,5,1,7
BANKE,Banke Police Unit,8074/2020,2021,6,Homicide,27.721095,82.841371,3,5,1
SUNSARI,Sunsari Police Unit,1220/2020,2016,10,Fraud,28.061744,86.703222,5,2,17
SUNSARI,Sunsari Police Unit,6411/2021,2021,1,Assault,29.909351,83.119909,0,2,17
RUPANDEHI,Rupandehi Police Unit,8881/2018,2019,9,Kidnapping,28.521865,81.506453,3,3,16
SUNSARI,Sunsari Police Unit,4559/2021,2019,1,Cyber Crime,28.725767,82.218186,3,3,24
DHANUSHA,Dhanusha Police Unit,6588/2021,2021,12,Drug Trafficking,26.518576,80.177019,0,5,28
LALITPUR,Lalitpur Police Unit,921/2018,2016,3,Fraud,29.564065,84.185895,0,2,22
KATHMANDU,Kathmandu Police Unit,9990/2016,2021,8,Kidnapping,27.539822,85.038904,1,3,13
SUNSARI,Sunsari Police Unit,530/2023,2021,11,Homicide,27.403848,83.506716,1,2,12
KASKI,Kaski Police Unit,9120/2023,2020,11,Domestic Violence,28.851414,81.611579,3,5,9
SUNSARI,Sunsari Police Unit,7828/2019,2020,11,Kidnapping,29.366053,81.737487,1,1,16
DHANUSHA,Dhanusha Police Unit,6611/2016,2016,10,Kidnapping,30.211046,85.578178,0,2,20
CHITWAN,Chitwan Police Unit,3236/2017,2022,7,Smuggling,26.930486,85.919571,1,3,3
KATHMANDU,Kathmandu Police Unit,1753/2016,2018,6,Fraud,26.708913,81.414103,4,4,19
KATHMANDU,Kathmandu Police Unit,6874/2018,2017,7,Cyber Crime,26.909736,81.120653,0,1,1
DHANUSHA,Dhanusha Police Unit,4934/2023,2015,12,Kidnapping,27.738837,85.749002,1,1,9
LALITPUR,Lalitpur Police Unit,7977/2018,2017,10,Drug Trafficking,29.907431,83.275598,5,5,22
KATHMANDU,Kathmandu Police Unit,2320/2017,2018,8,Cyber Crime,26.869958,80.683139,4,1,25
KASKI,Kaski Police Unit,4099/2022,2020,8,Homicide,26.63861,81.089755,1,0,12
BHAKTAPUR,Bhaktapur Police Unit,2556/2022,2019,11,Kidnapping,30.441166,84.536948,2,2,21
BANKE,Banke Police Unit,4514/2021,2017,5,Theft,30.125606,83.639294,2,4,2
LALITPUR,Lalitpur Police Unit,4183/2018,2016,12,Homicide,29.959773,87.588587,1,5,10
MORANG,Morang Police Unit,1925/2016,2015,10,Human Trafficking,29.294414,83.015695,2,5,10
CHITWAN,Chitwan Police Unit,3891/2020,2018,11,Homicide,27.376524,84.749155,5,2,25
BANKE,Banke Police Unit,5625/2017,2016,6,Kidnapping,27.511114,81.922637,2,2,1
LALITPUR,Lalitpur Police Unit,5436/2018,2017,10,Domestic Violence,26.991745,81.684974,4,5,18
CHITWAN,Chitwan Police Unit,8090/2023,2018,1,Kidnapping,28.789572,87.061849,4,3,26
KASKI,Kaski Police Unit,8741/2017,2022,6,Assault,27.444507,83.238487,4,5,20
CHITWAN,Chitwan Police Unit,611/2017,2023,12,Domestic Violence,27.641024,83.296661,0,3,14
RUPANDEHI,Rupandehi Police Unit,2797/2024,2015,7,Drug Trafficking,26.712237,84.099087,0,4,13
DHANUSHA,Dhanusha Police Unit,5968/2020,2020,5,Domestic Violence,26.360631,83.779235,1,3,21
LALITPUR,Lalitpur Police Unit,5213/2023,2015,7,Cyber Crime,27.660223,80.102458,3,3,20
MORANG,Morang Police Unit,477/2016,2023,7,Human Trafficking,27.943519,81.368139,2,3,19
BANKE,Banke Police Unit,5616/2015,2017,1,Human Trafficking,26.754114,81.830971,2,0,5
